,,종목코드,종목명,현재가,전일대비기호,전일대비,등락률,이전거래량,현재거래량,급증량,급증률,종목분류,매도잔량,매수잔량,체결강도,횟수,거래량,전일비,거래회전율,거래금액,거래량(장중),전일비(장중),거래회전율(장중),거래금액(장중),거래량(장후),전일비(장후),거래회전율(장후),거래금액(장후),거래량(장전),전일비(장전),거래회전율(장전),거래금액(장전),기준가,기준대비,급등률,예상체결가,예상체결량,매도호가,매수호가,현재순위,전일순위,전일거래량,거래대금
거래량 급증 종목,112,261250,KODEX 미국달러선물레버리지,-15285,5,-85,-0.55,39573,59629,+20056,+50.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,113,002800,신신제약,+5470,2,+70,+1.30,21970,41332,+19362,+88.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,114,332500,ACE 200TR,-21785,5,-35,-0.16,833,19942,+19109,+2294.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,115,115440,우리넷,+7020,2,+120,+1.74,69628,88352,+18724,+26.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,116,152380,KODEX 국채선물10년,+70185,2,+315,+0.45,2954,21258,+18304,+619.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,117,323990,박셀바이오,-12760,5,-50,-0.39,65351,83462,+18111,+27.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,118,250000,보라티알,+9320,2,+200,+2.19,19715,37809,+18094,+91.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,119,011370,서한,+804,2,+11,+1.39,24007,42034,+18027,+75.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,120,252410,RISE 200선물인버스,+5930,2,+15,+0.25,9198,26971,+17773,+193.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,121,446700,RISE 배터리 리사이클링,+9940,2,+125,+1.27,4880,22165,+17285,+354.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,122,460470,아이빔테크놀로지,+4330,2,+260,+6.39,127350,144125,+16775,+13.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
